Month,Payment,Principal Paid,Interest Paid,Balance,Rate
1,3571.379352162609,1294.7488406987804,2276.6305114638285,670705.2511593013,4.1000000000000005
2,3571.379352162609,1299.135246525294,2272.244105637315,669406.115912776,4.1000000000000005
3,3571.379352162609,1303.536512806183,2267.842839356426,668102.5793999698,4.1000000000000005
4,3571.379352162609,1307.9526898863346,2263.4266622762743,666794.6267100835,4.1000000000000005
5,3571.379352162609,1312.3838282811953,2258.9955238814136,665482.2428818023,4.1000000000000005
6,3481.6423573180377,1363.4799348559795,2118.162422462058,664118.7629469463,3.85
7,3481.642357318038,1367.8197530745492,2113.822604243489,662750.9431938718,3.85
8,3481.6423573180377,1372.1733844939504,2109.4689728240874,661378.7698093778,3.85
9,3481.642357318038,1376.5408730801996,2105.1014842378386,660002.2289362977,3.85
10,3481.6423573180386,1380.922262939252,2100.7200943787866,658621.3066733584,3.85
11,3481.642357318038,1385.317598317447,2096.3247590005913,657235.989075041,3.85
12,3394.5443441403168,1437.4635665402377,1957.080777600079,655798.5255085008,3.6000000000000005
13,3394.5443441403168,1441.743965607452,1952.8003785328647,654356.7815428933,3.6000000000000005
14,3394.5443441403168,1446.037110608964,1948.5072335313528,652910.7444322843,3.6000000000000005
15,3394.5443441403168,1450.3430394989082,1944.2013046414086,651460.4013927854,3.6000000000000005
16,3394.5443441403163,1454.6617903444358,1939.8825537958805,650005.739602441,3.6000000000000005
17,3394.5443441403168,1458.9934013260547,1935.550942814262,648546.746201115,3.6000000000000005
18,3310.0804693671275,1512.0622732716056,1798.018196095522,647034.6839278433,3.35
19,3310.0804693671275,1516.2542848681435,1793.826184498984,645518.4296429752,3.35
20,3310.0804693671275,1520.4579183148762,1789.6225510522513,643997.9717246604,3.35
21,3310.0804693671275,1524.673205831992,1785.4072635351356,642473.2985188283,3.35
22,3310.0804693671275,1528.9001797290057,1781.1802896381218,640944.3983390994,3.35
23,3310.0804693671275,1533.1388724050057,1776.9415969621218,639411.2594666943,3.35
24,3228.2407135354615,1586.9962956336528,1641.2444179018087,637824.2631710607,3.1
25,3228.240713535462,1591.0698066531681,1637.1709068822938,636233.1933644075,3.1
26,3228.2407135354615,1595.153773583684,1633.0869399517776,634638.0395908238,3.1
27,3228.2407135354615,1599.2482232634923,1628.9924902719692,633038.7913675603,3.1
28,3228.240713535461,1603.3531825997723,1624.8875309356888,631435.4381849605,3.1
29,3228.2407135354606,1607.4686785687695,1620.772034966691,629827.9695063918,3.1
30,3228.240713535462,1611.594738215974,1616.645975319488,628216.3747681758,3.1
31,3228.240713535461,1615.7313886562908,1612.5093248791702,626600.6433795195,3.1
32,3228.240713535461,1619.87865707423,1608.362056461231,624980.7647224453,3.1
33,3228.240713535462,1624.0365707240762,1604.2041428113857,623356.7281517212,3.1
34,3228.2407135354615,1628.2051569300684,1600.0355566053931,621728.5229947912,3.1
35,3228.2407135354615,1632.3844430865856,1595.8562704488759,620096.1385517046,3.1
36,3228.2407135354615,1636.5744566583205,1591.666256877141,618459.5640950463,3.1
