Month,Payment,Principal Paid,Interest Paid,Balance,Rate,Strategy
1,5254.7824330056355,1957.0892193430573,3297.6932136625783,998042.910780657,3.9899999999999998,Full Fixed
2,5254.7824330056355,1963.5430991802173,3291.2393338254183,996079.3676814768,3.9899999999999998,Full Fixed
3,5254.7824330056355,1970.0182619331176,3284.764171072518,994109.3494195436,3.9899999999999998,Full Fixed
4,5254.7824330056355,1976.5147777862858,3278.2676552193498,992132.8346417573,3.9899999999999998,Full Fixed
5,5254.7824330056355,1983.0327171556955,3271.74971584994,990149.8019246017,3.9899999999999998,Full Fixed
6,5254.7824330056355,1989.5721506895306,3265.210282316105,988160.2297739121,3.9899999999999998,Full Fixed
7,5254.7824330056355,1996.133149268952,3258.6492837366836,986164.0966246432,3.9899999999999998,Full Fixed
8,5254.7824330056355,2002.7157840088626,3252.066648996773,984161.3808406343,3.9899999999999998,Full Fixed
9,5254.7824330056355,2009.3201262586836,3245.462306746952,982152.0607143757,3.9899999999999998,Full Fixed
10,5254.7824330056355,2015.9462476031226,3238.836185402513,980136.1144667725,3.9899999999999998,Full Fixed
11,5254.7824330056355,2022.5942198629518,3232.1882131426837,978113.5202469096,3.9899999999999998,Full Fixed
12,5254.7824330056355,2029.264115095787,3225.5183179098485,976084.2561318137,3.9899999999999998,Full Fixed
13,5254.7824330056355,2035.9560055968677,3218.826427408768,974048.3001262168,3.9899999999999998,Full Fixed
14,5254.7824330056355,2042.6699638998402,3212.1124691057953,972005.630162317,3.9899999999999998,Full Fixed
15,5254.7824330056355,2049.4060627775452,3205.3763702280903,969956.2240995395,3.9899999999999998,Full Fixed
16,5254.7824330056355,2056.1643752428054,3198.61805776283,967900.0597242967,3.9899999999999998,Full Fixed
17,5254.7824330056355,2062.9449745492184,3191.837458456417,965837.1147497474,3.9899999999999998,Full Fixed
18,5254.7824330056355,2069.747934191949,3185.0344988136867,963767.3668155555,3.9899999999999998,Full Fixed
19,5254.7824330056355,2076.5733279085257,3178.20910509711,961690.793487647,3.9899999999999998,Full Fixed
20,5254.7824330056355,2083.4212296796422,3171.3612033259933,959607.3722579674,3.9899999999999998,Full Fixed
21,5254.7824330056355,2090.2917137299573,3164.490719275678,957517.0805442374,3.9899999999999998,Full Fixed
22,5254.7824330056355,2097.1848545289,3157.5975784767356,955419.8956897085,3.9899999999999998,Full Fixed
23,5254.7824330056355,2104.1007267914756,3150.68170621416,953315.7949629171,3.9899999999999998,Full Fixed
24,5254.7824330056355,2111.039405479078,3143.7430275265574,951204.755557438,3.9899999999999998,Full Fixed
25,5254.7824330056355,2118.000965800301,3136.7814672053346,949086.7545916378,3.9899999999999998,Full Fixed
26,5254.7824330056355,2124.985483211751,3129.7969497938843,946961.7691084261,3.9899999999999998,Full Fixed
27,5254.7824330056355,2131.99303341887,3122.7893995867657,944829.7760750072,3.9899999999999998,Full Fixed
28,5254.7824330056355,2139.023692376751,3115.7587406288844,942690.7523826304,3.9899999999999998,Full Fixed
29,5254.7824330056355,2146.077536290966,3108.7048967146698,940544.6748463394,3.9899999999999998,Full Fixed
30,5254.7824330056355,2153.154641618386,3101.6277913872495,938391.520204721,3.9899999999999998,Full Fixed
31,5254.7824330056355,2160.2550850680173,3094.5273479376183,936231.265119653,3.9899999999999998,Full Fixed
32,5254.7824330056355,2167.378943601826,3087.4034894038095,934063.8861760511,3.9899999999999998,Full Fixed
33,5254.7824330056355,2174.5262944355773,3080.2561385700583,931889.3598816155,3.9899999999999998,Full Fixed
34,5254.7824330056355,2181.697215039668,3073.0852179659673,929707.6626665759,3.9899999999999998,Full Fixed
35,5254.7824330056355,2188.891783139971,3065.8906498656647,927518.7708834358,3.9899999999999998,Full Fixed
36,5254.7824330056355,2196.1100767186736,3058.672356286962,925322.6608067171,3.9899999999999998,Full Fixed
37,4876.789446765002,2425.553486553353,2451.235960211649,922897.1073201637,3.2,Full Fixed
38,4876.789446765002,2431.9789251397947,2444.8105216252075,920465.128395024,3.2,Full Fixed
39,4876.789446765002,2438.421385103525,2438.368061661477,918026.7070099205,3.2,Full Fixed
40,4876.789446765002,2444.8809115352065,2431.9085352297957,915581.8260983853,3.2,Full Fixed
41,4876.789446765002,2451.3575496449503,2425.431897120052,913130.4685487403,3.2,Full Fixed
42,4876.789446765002,2457.851344762631,2418.938102002371,910672.6172039777,3.2,Full Fixed
43,4876.789446765002,2464.3623423382055,2412.4271044267966,908208.2548616395,3.2,Full Fixed
44,4876.789446765002,2470.89058794203,2405.898858822972,905737.3642736975,3.2,Full Fixed
45,4876.789446765002,2477.43612726518,2399.353319499822,903259.9281464323,3.2,Full Fixed
46,4876.789446765002,2483.999006119768,2392.790440645234,900775.9291403125,3.2,Full Fixed
47,4876.789446765002,2490.579270439268,2386.210176325734,898285.3498698733,3.2,Full Fixed
48,4876.789446765002,2497.1769662788315,2379.6124804861706,895788.1729035944,3.2,Full Fixed
49,4876.789446765002,2503.792139815615,2372.997306949387,893284.3807637788,3.2,Full Fixed
50,4876.789446765002,2510.424837349101,2366.364609415901,890773.9559264297,3.2,Full Fixed
51,4876.789446765002,2517.075105301421,2359.714341463581,888256.8808211283,3.2,Full Fixed
52,4876.789446765002,2523.742990217683,2353.046456547319,885733.1378309106,3.2,Full Fixed
53,4876.789446765002,2530.4285387662944,2346.3609079987077,883202.7092921443,3.2,Full Fixed
54,4876.789446765002,2537.1317977392914,2339.6576490257107,880665.577494405,3.2,Full Fixed
55,4876.789446765002,2543.8528140526637,2332.9366327123385,878121.7246803523,3.2,Full Fixed
56,4876.789446765002,2550.5916347466855,2326.1978120183167,875571.1330456056,3.2,Full Fixed
57,4876.789446765002,2557.3483069862427,2319.4411397787594,873013.7847386193,3.2,Full Fixed
58,4876.789446765002,2564.1228780611646,2312.6665687038376,870449.6618605582,3.2,Full Fixed
59,4876.789446765002,2570.915395386554,2305.8740513784483,867878.7464651717,3.2,Full Fixed
60,4876.789446765002,2577.7259065031185,2299.0635402618836,865301.0205586685,3.2,Full Fixed
1,5314.552607384835,1926.7095843731854,3387.8430230116496,998073.2904156268,4.1000000000000005,Variable (Fixed Payment)
2,5314.552607384835,1933.2369739959736,3381.3156333888614,996140.0534416309,4.1000000000000005,Variable (Fixed Payment)
3,5314.552607384835,1939.7864773901538,3374.7661299946813,994200.2669642407,4.1000000000000005,Variable (Fixed Payment)
4,5314.552607384835,1946.3581694737127,3368.1944379111223,992253.908794767,4.1000000000000005,Variable (Fixed Payment)
5,5314.552607384835,1952.952125418446,3361.600481966389,990300.9566693485,4.1000000000000005,Variable (Fixed Payment)
6,5314.552607384835,2162.5251930067725,3152.0274143780625,988138.4314763418,3.85,Variable (Fixed Payment)
7,5314.552607384835,2169.408291166715,3145.14431621812,985969.023185175,3.85,Variable (Fixed Payment)
8,5314.552607384835,2176.3132975293615,3138.2393098554735,983792.7098876457,3.85,Variable (Fixed Payment)
9,5314.552607384835,2183.2402818262963,3131.3123255585388,981609.4696058193,3.85,Variable (Fixed Payment)
10,5314.552607384835,2190.1893140110537,3124.3632933737813,979419.2802918083,3.85,Variable (Fixed Payment)
11,5314.552607384835,2197.1604642598213,3117.3921431250137,977222.1198275485,3.85,Variable (Fixed Payment)
12,5314.552607384835,2404.6349249224813,2909.9176824623537,974817.484902626,3.6000000000000005,Variable (Fixed Payment)
13,5314.552607384835,2411.795313073676,2902.757294311159,972405.6895895523,3.6000000000000005,Variable (Fixed Payment)
14,5314.552607384835,2418.977023030499,2895.575584354336,969986.7125665218,3.6000000000000005,Variable (Fixed Payment)
15,5314.552607384835,2426.1801182838367,2888.3724891009983,967560.532448238,3.6000000000000005,Variable (Fixed Payment)
16,5314.552607384835,2433.404662513636,2881.147944871199,965127.1277857244,3.6000000000000005,Variable (Fixed Payment)
17,5314.552607384835,2440.650719589467,2873.901887795368,962686.4770661349,3.6000000000000005,Variable (Fixed Payment)
18,5314.552607384835,2645.6196229253887,2668.9329844594463,960040.8574432095,3.35,Variable (Fixed Payment)
19,5314.552607384835,2652.9542865403564,2661.5983208444786,957387.9031566691,3.35,Variable (Fixed Payment)
