Month,Payment,Principal Paid,Interest Paid,Balance,Rate
1,3233.623979926233,956.9934684624045,2276.6305114638285,671043.0065315376,4.1000000000000005
2,3233.623979926233,960.2356121076023,2273.3883678186307,670082.7709194301,4.1000000000000005
3,3233.623979926233,963.4887396265285,2270.1352402997045,669119.2821798036,4.1000000000000005
4,3233.623979926233,966.752888230822,2266.871091695411,668152.5292915727,4.1000000000000005
5,3233.623979926233,970.0280952581916,2263.5958846680414,667182.5011963146,4.1000000000000005
6,3139.693272522863,1016.1191004479479,2123.574172074915,666166.3820958666,3.85
7,3139.6932725228626,1019.3533043930361,2120.3399681298265,665147.0287914736,3.85
8,3139.6932725228626,1022.597802480961,2117.0954700419015,664124.4309889927,3.85
9,3139.693272522863,1025.8526274769338,2113.8406450459293,663098.5783615158,3.85
10,3139.693272522863,1029.1178122504534,2110.5754602724096,662069.4605492653,3.85
11,3139.6932725228626,1032.393389775641,2107.2998827472215,661037.0671594896,3.85
12,3048.3443227839907,1079.9449062522542,1968.3994165317365,659957.1222532374,3.6000000000000005
13,3048.344322783991,1083.160706135441,1965.1836166485502,658873.961547102,3.6000000000000005
14,3048.344322783991,1086.38608184868,1961.958240935311,657787.5754652533,3.6000000000000005
15,3048.344322783991,1089.6210619063463,1958.7232608776449,656697.954403347,3.6000000000000005
16,3048.3443227839907,1092.8656749077218,1955.478647876269,655605.0887284393,3.6000000000000005
17,3048.344322783991,1096.1199495372518,1952.2243732467393,654508.9687789021,3.6000000000000005
18,2959.5872156650175,1145.0394713960961,1814.5477442689214,653363.929307506,3.35
19,2959.587215665017,1148.213956222174,1811.3732594428432,652215.7153512838,3.35
20,2959.5872156650175,1151.3972419273161,1808.1899737377014,651064.3181093564,3.35
21,2959.5872156650175,1154.5893529109053,1804.9978627541122,649909.7287564456,3.35
22,2959.5872156650175,1157.790313639969,1801.7969020250484,648751.9384428055,3.35
23,2959.587215665017,1161.0001486493675,1798.5870670156496,647590.9382941562,3.35
24,2873.4256284103008,1211.1855648781686,1662.2400635321321,646379.752729278,3.1
25,2873.4256284103008,1214.2944427998016,1659.1311856104992,645165.4582864783,3.1
26,2873.4256284103008,1217.4113006067732,1656.0143278035275,643948.0469858715,3.1
27,2873.4256284103008,1220.5361587818982,1652.8894696284026,642727.5108270897,3.1
28,2873.4256284103008,1223.6690378605663,1649.7565905497345,641503.8417892291,3.1
29,2873.4256284103008,1226.8099584308782,1646.6156699794226,640277.0318307983,3.1
30,2873.425628410301,1229.95894113378,1643.4666872765213,639047.0728896644,3.1
31,2873.4256284103017,1233.1160066631987,1640.309621747103,637813.9568830013,3.1
32,2873.425628410301,1236.281175766178,1637.1444526441232,636577.6757072351,3.1
33,2873.4256284103017,1239.4544692430177,1633.971159167284,635338.221237992,3.1
34,2873.425628410301,1242.635907947405,1630.7897204628962,634095.5853300446,3.1
35,2873.4256284103008,1245.8255127865564,1627.6001156237444,632849.7598172581,3.1
36,2873.425628410301,1249.023304721353,1624.4023236889482,631600.7365125368,3.1
