Month,Payment,Principal Paid,Interest Paid,Balance,Rate,Strategy
1,3494.8981502750685,1333.9452766714985,2160.95287360357,670666.0547233284,3.8899999999999997,Full Fixed
2,3494.8981502750685,1338.2348494078874,2156.663300867181,669327.8198739205,3.8899999999999997,Full Fixed
3,3494.8981502750685,1342.5382161391144,2152.359934135954,667985.2816577815,3.8899999999999997,Full Fixed
4,3494.8981502750685,1346.855421222579,2148.0427290524894,666638.4262365588,3.8899999999999997,Full Fixed
5,3494.8981502750685,1351.1865091583227,2143.711641116746,665287.2397274005,3.8899999999999997,Full Fixed
6,3494.8981502750685,1355.5315245894835,2139.366625685585,663931.708202811,3.8899999999999997,Full Fixed
7,3494.8981502750685,1359.8905123027603,2135.007637972308,662571.8176905082,3.8899999999999997,Full Fixed
8,3494.8981502750685,1364.2635172288715,2130.634633046197,661207.5541732793,3.8899999999999997,Full Fixed
9,3494.8981502750685,1368.6505844430208,2126.2475658320477,659838.9035888363,3.8899999999999997,Full Fixed
10,3494.8981502750685,1373.0517591653588,2121.8463911097097,658465.851829671,3.8899999999999997,Full Fixed
11,3494.8981502750685,1377.4670867614527,2117.4310635136158,657088.3847429095,3.8899999999999997,Full Fixed
12,3494.8981502750685,1381.8966127427493,2113.001537532319,655706.4881301667,3.8899999999999997,Full Fixed
13,3494.8981502750685,1386.3403827670495,2108.557767508019,654320.1477473996,3.8899999999999997,Full Fixed
14,3494.8981502750685,1390.798442638974,2104.0997076360945,652929.3493047607,3.8899999999999997,Full Fixed
15,3494.8981502750685,1395.2708383104382,2099.6273119646303,651534.0784664502,3.8899999999999997,Full Fixed
16,3494.8981502750685,1399.7576158811257,2095.1405343939427,650134.320850569,3.8899999999999997,Full Fixed
17,3494.8981502750685,1404.2588215989636,2090.639328676105,648730.0620289701,3.8899999999999997,Full Fixed
18,3494.8981502750685,1408.7745018605965,2086.123648414472,647321.2875271095,3.8899999999999997,Full Fixed
19,3494.8981502750685,1413.3047032118693,2081.593447063199,645907.9828238976,3.8899999999999997,Full Fixed
20,3494.8981502750685,1417.8494723483022,2077.0486779267662,644490.1333515493,3.8899999999999997,Full Fixed
21,3494.8981502750685,1422.4088561155768,2072.4892941594917,643067.7244954337,3.8899999999999997,Full Fixed
22,3494.8981502750685,1426.9829015100145,2067.915248765054,641640.7415939238,3.8899999999999997,Full Fixed
23,3494.8981502750685,1431.5716556790635,2063.326494596005,640209.1699382447,3.8899999999999997,Full Fixed
24,3494.8981502750685,1436.1751659217853,2058.722984353283,638772.9947723229,3.8899999999999997,Full Fixed
25,3494.8981502750685,1440.79347968934,2054.1046705857284,637332.2012926335,3.8899999999999997,Full Fixed
26,3494.8981502750685,1445.4266445854773,2049.471505689591,635886.7746480481,3.8899999999999997,Full Fixed
27,3494.8981502750685,1450.0747083670249,2044.8234419080436,634436.6999396811,3.8899999999999997,Full Fixed
28,3494.8981502750685,1454.7377189443844,2040.160431330684,632981.9622207367,3.8899999999999997,Full Fixed
29,3494.8981502750685,1459.415724382022,2035.4824258930464,631522.5464963546,3.8899999999999997,Full Fixed
30,3494.8981502750685,1464.1087728989648,2030.7893773761036,630058.4377234557,3.8899999999999997,Full Fixed
31,3494.8981502750685,1468.8169128692984,2026.08123740577,628589.6208105864,3.8899999999999997,Full Fixed
32,3494.8981502750685,1473.5401928226652,2021.3579574524033,627116.0806177637,3.8899999999999997,Full Fixed
33,3494.8981502750685,1478.2786614447643,2016.6194888303041,625637.8019563189,3.8899999999999997,Full Fixed
34,3494.8981502750685,1483.0323675778534,2011.865782697215,624154.769588741,3.8899999999999997,Full Fixed
35,3494.8981502750685,1487.8013602212532,2007.0967900538153,622666.9682285198,3.8899999999999997,Full Fixed
36,3494.8981502750685,1492.5856885318503,2002.3124617432181,621174.3825399879,3.8899999999999997,Full Fixed
1,3571.379352162609,1294.7488406987804,2276.6305114638285,670705.2511593013,4.1000000000000005,Variable (Fixed Payment)
2,3571.379352162609,1299.135246525294,2272.244105637315,669406.115912776,4.1000000000000005,Variable (Fixed Payment)
3,3571.379352162609,1303.536512806183,2267.842839356426,668102.5793999698,4.1000000000000005,Variable (Fixed Payment)
4,3571.379352162609,1307.9526898863346,2263.4266622762743,666794.6267100835,4.1000000000000005,Variable (Fixed Payment)
5,3571.379352162609,1312.3838282811953,2258.9955238814136,665482.2428818023,4.1000000000000005,Variable (Fixed Payment)
6,3571.379352162609,1316.829978677351,2254.549373485258,664165.4129031249,4.1000000000000005,Variable (Fixed Payment)
7,3571.379352162609,1321.291191933106,2250.088160229503,662844.1217111918,4.1000000000000005,Variable (Fixed Payment)
8,3571.379352162609,1325.7675190790628,2245.611833083546,661518.3541921128,4.1000000000000005,Variable (Fixed Payment)
9,3571.379352162609,1330.2590113187102,2241.1203408438987,660188.0951807941,4.1000000000000005,Variable (Fixed Payment)
10,3571.379352162609,1334.7657200290046,2236.6136321336044,658853.3294607651,4.1000000000000005,Variable (Fixed Payment)
11,3571.379352162609,1339.28769676096,2232.091655401649,657514.0417640042,4.1000000000000005,Variable (Fixed Payment)
12,3571.379352162609,1343.8249932402368,2227.554358922372,656170.216770764,4.1000000000000005,Variable (Fixed Payment)
13,3571.379352162609,1348.3776613677346,2223.0016907948743,654821.8391093962,4.1000000000000005,Variable (Fixed Payment)
14,3571.379352162609,1352.945753220184,2218.433598942425,653468.893356176,4.1000000000000005,Variable (Fixed Payment)
15,3571.379352162609,1357.5293210507443,2213.8500311118646,652111.3640351252,4.1000000000000005,Variable (Fixed Payment)
16,3571.379352162609,1362.1284172895998,2209.250934873009,650749.2356178357,4.1000000000000005,Variable (Fixed Payment)
17,3571.379352162609,1366.7430945445603,2204.6362576180486,649382.4925232911,4.1000000000000005,Variable (Fixed Payment)
18,3571.379352162609,1371.3734056016624,2200.0059465609465,648011.1191176894,4.1000000000000005,Variable (Fixed Payment)
19,3571.379352162609,1376.0194034257738,2195.359948736835,646635.0997142637,4.1000000000000005,Variable (Fixed Payment)
20,3571.379352162609,1380.6811411611984,2190.6982110014105,645254.4185731024,4.1000000000000005,Variable (Fixed Payment)
